COD_LOC;ZONA;COD_DEPOSITO;SPEDIZIONI_2021
051040;508;27;4
051041;508;27;19
051042;508;27;4
052004;512;27;2
052012;512;27;33
052016;512;27;14
052017;512;27;10
052022;512;27;30
052028;512;27;5
052032;512;27;112
053006;532;27;8
053011;532;27;130
054039;999;04;87
056050;999;04;3
057059;999;04;35
058007;763;40;29
058011;763;40;2
058026;763;40;5
058034;763;40;12
058040;763;40;3
058041;763;40;1
058049;763;40;1
058062;763;40;2
058063;462;40;4
058072;763;40;30
058073;763;40;1
058074;763;40;10
058079;763;40;38
058091;460;04;1
058091;460;40;13290
058091;460;58;1
058091;463;40;2
058091;762;04;1
058091;762;40;1070
058091;763;40;136
058102;763;40;6
058110;763;40;6
058114;763;40;6
058117;463;40;90
058117;763;40;19
059001;763;40;43
059005;763;40;5
059011;763;40;98
059017;763;40;10
060003;763;40;5
060006;763;40;6
060019;463;40;155
060024;763;40;7
060033;763;40;9
060035;763;40;8
060038;763;40;30
060045;763;40;3
061083;714;35;414
061094;413;35;443
063017;421;35;812
063024;731;35;1107
063030;414;35;297
063033;414;35;558
063034;418;64;167
063035;731;35;446
063036;999;04;1
063049;416;58;17
063049;416;64;1
063049;417;31;3358
063049;486;04;2
063049;486;31;1498
063049;496;31;2175
063049;496;3B;1
063049;716;31;1381
063049;717;31;4002
063049;746;35;1
063049;786;31;2517
063050;724;35;826
063051;425;04;1
063051;425;35;185
063057;420;31;925
063060;419;64;795
063083;431;35;1349
063091;446;35;1
064008;727;35;1174
064025;429;35;82
064073;727;35;14
064078;429;35;1
064092;428;35;14
065052;426;35;108
065052;905;35;18
065116;746;35;1225
065137;433;35;1363
065137;486;31;1
066006;480;40;61
066025;480;40;16
066028;480;40;3
066031;480;40;4
066032;480;40;15
066036;480;40;4
066038;480;40;1
066039;480;40;9
066041;480;40;2
066045;480;40;3
066049;480;40;98
066055;480;40;9
066059;480;40;10
066062;480;40;1
066068;480;40;4
066069;480;40;5
066072;480;40;6
066076;480;40;2
066078;480;40;1
066082;480;40;4
066084;480;40;1
066087;480;04;1
066087;480;40;2
066088;480;40;1
066093;480;40;4
066096;480;40;1
066098;480;40;20
066099;480;40;18
066102;480;40;15
066103;480;40;3
069022;999;58;1
072006;999;04;99
073027;999;3B;1
078102;999;58;1
082006;999;04;8
083048;999;3B;1
083108;999;04;3
087017;999;3B;1
087050;999;04;5
090003;999;04;24
090003;999;3B;2
090074;999;04;1
093005;221;67;140
093005;224;8T;24
093008;225;8T;73
093010;224;8T;39
093011;229;8T;1
093013;221;67;55
093018;221;67;35
093022;237;67;197
093029;221;67;117
093029;237;67;7
093035;221;67;32
093041;221;67;146
093043;221;67;118
096004;041;56;1125
096004;046;56;51
096004;049;56;138
096020;048;56;530
096088;046;56;585
097013;134;32;349
097014;152;14;1
097042;139;32;1595
097092;132;14;74
097092;144;14;40
098050;770;21;3
099014;316;07;846
099018;316;07;99
099020;316;07;8
100003;500;27;30
100005;500;27;442
103040;058;42;19
901901;315;07;71
